r_name,sig_len,sampling_freq,created_at
slp01a,1800000,250,1989-01-19 23:07:00
slp01b,2700000,250,1989-01-20 02:14:00
slp02a,2700000,250,1989-02-01 00:49:00
slp02b,2025000,250,1989-02-01 03:59:30
slp03,5400000,250,1989-02-09 23:12:00
slp04,5400000,250,1989-02-26 00:05:30
slp14,5400000,250,1989-03-30 23:48:00
slp16,5400000,250,1989-04-06 23:48:00
slp32,4800000,250,1989-07-20 01:05:30
slp37,5250000,250,1989-08-10 00:08:30
slp41,5850000,250,1989-08-24 23:51:30
slp45,5700000,250,1989-08-31 00:15:00
slp48,5700000,250,1989-09-07 00:20:30
slp59,3600000,250,1989-10-27 00:21:30
slp60,5325000,250,1989-11-09 00:11:30
slp61,5550000,250,1989-11-16 00:06:00
slp66,3300000,250,1990-01-04 00:23:30
slp67x,1155000,250,1990-01-04 01:06:00
